,subject,trials,activations,torques,emgSO,emgMG,emgLG,lnemgSO,lnemgMG,lnemgLG,emg_norm_mvc,emg_norm_mmax
2,sub09,10,4.498251600635772,9.182771969623905,0.00652990727527026,0.015465162010958107,0.006328886587761135,-5.031362535600088,-4.1691653969246705,-5.062630952805815,7.034443215000269,1.0618091737671598
3,sub09,15,15.863486126285775,12.078419164839339,0.012133297991244223,0.018025396187493815,0.005823202397932164,-4.411801705821336,-4.015973616163978,-5.145904928370888,14.949061816242503,2.256475813444752
4,sub09,25,37.33144728137727,47.80631390759864,0.03540092338744068,0.026937382558411386,0.014655167910463285,-3.3410173747916203,-3.614240270908226,-4.222962247330276,44.984994849212725,6.790228985132361
5,sub09,50,51.51590822418663,56.92502529233955,0.044753076329718235,0.024496637723249788,0.019152212266734157,-3.1065950918259153,-3.7092194066348707,-3.9553370469607,46.195631088470876,6.972967636316317
6,sub09,75,71.3362885265849,74.30355111802788,0.0348796558572899,0.04323238559085266,0.02347195633079367,-3.3558515464668126,-3.141165398136688,-3.7519489180640844,40.29854435405084,6.082835951159544
7,sub09,90,78.9261020730722,86.25265635154476,0.06284114219934736,0.03437362480831416,0.019830700495695245,-2.767145289449475,-3.3704657293719613,-3.92052401202668,71.90601060095398,10.85380311867208
8,sub09,95,85.39468512912424,102.8292535311149,0.0900081748188496,0.07106867251097394,0.04735999688138931,-2.4078547814562357,-2.6441086509307827,-3.0499773542554323,95.53609213798279,14.420629459579889
9,sub09,100,87.45479179110178,96.04526891646674,0.0590058846014047,0.039342232004892626,0.044130893397814404,-2.8301181010431624,-3.2354567313598817,-3.120595211223653,61.44545817601901,9.27484225595825
0,sub10,01,-0.9339297757093634,0.5979902850770302,0.004935666830429544,0.004820572552747433,0.0016155187998859127,-5.3112674925441805,-5.33486257109717,-6.428099135574048,10.481915401849946,0.9940853869197918
1,sub10,05,0.8886852615101581,5.0320717073099885,0.005029933564986143,0.005206819765874758,0.002238557466995193,-5.2923485027139465,-5.257786019213629,-6.10192360851307,9.855361597526654,0.934664187919573
2,sub10,10,5.185349798039041,8.5595424988352,0.005987190879641519,0.00500969432630981,0.0020316577058750347,-5.118132945195137,-5.296380378459328,-6.198903215288658,11.578305163281714,1.0980649553883028
3,sub10,15,9.693164266480448,14.111541322672283,0.005192753067653349,0.006475798588501708,0.0022537627127311903,-5.260491266251243,-5.039683344870026,-6.095154142761074,10.818848972505863,1.0260395409184628
4,sub10,25,21.785408095015768,24.545480599767235,0.018832447588590803,0.006120657074067548,0.0029667739233678386,-3.972173961298123,-5.0960858231773996,-5.8202801376214754,37.44726992950814,3.551429523118936
5,sub10,50,41.94364786366378,48.584538981741844,0.021764211434604684,0.008705113389552727,0.004966426379965663,-3.827488335527652,-4.743844680050986,-5.305054735741862,43.941659911527864,4.1673454059111865
6,sub10,75,53.5974186744474,71.84102338407826,0.013598115871921564,0.010591177580378579,0.009503946160315177,-4.297824034666817,-4.547733928159048,-4.656048181327896,28.731527433769806,2.7248446940103004
7,sub10,90,65.36878093348379,88.55372933005955,0.046979069804626655,0.01990671022720794,0.022847912182153207,-3.0580530997637654,-3.9166984067428063,-3.778895536400574,101.08378790190716,9.586598685012365
8,sub10,95,82.51241497706744,103.81374576846954,0.031099091339195785,0.020136743716827197,0.019021136791208162,-3.470576677612988,-3.9052090871456926,-3.9622044554486187,64.05012061301572,6.074394468077061
9,sub10,100,82.745204298014,99.33068151307303,0.02939532077698324,0.012753952183007254,0.008611764797510855,-3.5269197745498277,-4.361914080272245,-4.75462601087122,63.88703216472118,6.058927462571903
0,sub11,01,3.3377411715634686,1.8764497750086624,0.0056744901801607265,0.004579268444059413,0.002331853600306741,-5.1717745557452,-5.386216021985286,-6.061091791063718,4.9908711386453035,0.9809315463724031
1,sub11,05,4.823098959629513,6.008005010588595,0.008221485229032623,0.00431121744732564,0.0027918861350783543,-4.8010044014384246,-5.446534944376547,-5.881037877478702,7.371468904656206,1.4488265055954175
2,sub11,10,8.640955723512212,7.6183067166465,0.005416159272039798,0.004443436363220754,0.0036522641071806846,-5.218368336116267,-5.416327246206905,-5.612408000359156,4.976508915553732,0.9781087209947911
3,sub11,15,18.6199589753304,15.380714355347452,0.013679267827718508,0.006944908381074156,0.004902834894674408,-4.291873889585658,-4.969746494932802,-5.317941691227493,14.272834151843943,2.8052564145115153
4,sub11,25,33.911626150780826,26.42583294153819,0.02222622350259661,0.01057994538619647,0.013842767385640204,-3.8064824483618995,-4.548795014550517,-4.279992393171231,20.098451608101968,3.9502533060746923
5,sub11,50,62.73969224414066,50.04344089894624,0.04254608905276957,0.026112776922600212,0.02623325821884121,-3.1571673423405953,-3.645330547173389,-3.640727275553433,44.86760498924645,8.818510420622497
6,sub11,75,82.38563617740883,69.70884799903284,0.05589581898751475,0.05272742878516847,0.05787283122125542,-2.8842656961171733,-2.94261948852571,-2.8495072407767146,56.30106435879208,11.06570147568923
7,sub11,90,89.01545856518553,76.30246024246095,0.07109443090774058,0.06091143089523376,0.06919484461006796,-2.643746272839294,-2.798334422450494,-2.6708289189882746,68.6162780768018,13.48619707670227
8,sub11,95,91.52063210994474,81.7090478954086,0.09163320810981343,0.05559112296453275,0.0548128043879953,-2.3899615390516784,-2.8897317493837225,-2.903831455606403,89.25352111473428,17.542347228388426
9,sub11,100,96.83720053821457,96.17449005591293,0.1118965954243623,0.07943277211136933,0.09913182530600338,-2.1901800892892007,-2.5328442488910805,-2.3113047458514973,108.85364549537815,21.394656731818152
0,sub12,01,0.3052289361051952,2.185422609185896,0.0018229093812162365,0.002898211986664296,0.001673413156150055,-6.3073214931243955,-5.8436612884613774,-6.392889932205836,11.522094585859994,0.4038497461239074
1,sub12,05,5.105995397846696,10.18075030249595,0.0054181487556588725,0.00317602357026665,0.002372042088034185,-5.218001079871319,-5.752125314256193,-6.044004054313441,36.59797568080114,1.2827600986264
2,sub12,10,9.731026604937853,17.78244855853102,0.005181478716047384,0.0044036780053419485,0.001859868656722452,-5.262664797030117,-5.425315176931378,-6.2872494084157085,30.61918301108615,1.0732032438549584
3,sub12,15,16.81808763222441,27.871852876116566,0.0074402737060496335,0.005493598356743787,0.0037820852927466482,-4.9008476423662835,-5.204171799779778,-5.577479756713907,44.814856072509244,1.5707619923267155
4,sub12,25,22.618214705592987,36.39908409856721,0.009859977836805063,0.00563776149951848,0.004483877580017057,-4.619271358158652,-5.178268189505226,-5.407267075657616,64.14797463854418,2.248388353271387
5,sub12,50,53.36453458695769,79.16290119627948,0.017249308974933007,0.008963374754787316,0.009523354776783031,-4.059983195731342,-4.71460847616922,-4.654008099735298,97.37462219671791,3.4129833043824798
6,sub12,75,69.60252721869145,94.00863292693047,0.020036855321111883,0.010829092183439465,0.009344794592398202,-3.9101819351829183,-4.525519045726503,-4.672935818797918,118.78330107939664,4.163358114031097
7,sub12,90,87.80708998873932,109.77328603982029,0.035802153788154115,0.03106554295519222,0.027547073160134636,-3.3297472257048413,-3.471656017583094,-3.5918589864084867,208.2814455260482,7.300270647078428
8,sub12,95,93.12886735640129,124.98740673697012,0.022881903698777947,0.015696184256203477,0.02001288653137136,-3.7774089123138515,-4.154337637173274,-3.9113788863488193,135.67224053830788,4.755315927079571
9,sub12,100,98.35716014060242,144.2695444939067,0.03938075337648837,0.016474059865736995,0.014228073010977133,-3.2344780750123445,-4.10596826451697,-4.252538293409437,245.85649954953297,8.617277369675458
0,sub13,01,1.0850944558754572,1.047729846267735,0.0035984386860849183,0.009954547629140179,0.004785683684266057,-5.627255225904131,-4.6097257840715375,-5.342126383559339,6.832882053611038,0.6576792228004184
1,sub13,05,6.603952374999567,4.956015095239217,0.00424990963121845,0.006555142370555001,0.004481156619240237,-5.460857559514595,-5.027505442619423,-5.407874091938846,7.099364165139907,0.683328684714941
2,sub13,10,10.364062373377624,8.89373011706909,0.008377752455703675,0.006791892287166209,0.0042642281564750795,-4.782175603837753,-4.992025688878847,-5.457494085933968,14.98391939666021,1.4422336557224258
3,sub13,15,17.053592727869127,14.820187921070005,0.005225354577070477,0.010288540583851981,0.00834625150820124,-5.254232621793476,-4.576724567780617,-4.785942762088155,8.564419502137435,0.8243433323901382
4,sub13,25,26.13732450604287,26.293107919311886,0.012367526674229157,0.010211351442256806,0.010596298226799332,-4.392681058064319,-4.584255290995263,-4.547250562743833,21.46175564461298,2.065738975374541
5,sub13,50,53.08182108463186,50.54026199874858,0.014841360719874772,0.018794081569766457,0.014791239438903859,-4.210337352732489,-3.9742132688281466,-4.2137202032754715,28.151651713003663,2.709655497327317
6,sub13,75,78.2911614870623,75.94155312643193,0.03048787466187399,0.030032361103275663,0.033567710608297614,-3.4904262264832506,-3.5054797752599627,-3.3941906678642293,57.31118748060693,5.516321947939228
7,sub13,90,86.6600269567109,81.96126393212327,0.047430274363178926,0.03260366929571911,0.03201061885396901,-3.0484945545177915,-3.423330441859915,-3.4416875920423244,82.24538614341948,7.916290843793856
8,sub13,95,87.42644134001809,89.30601986822163,0.061872536760566844,0.04135565615447606,0.044102488946250754,-2.782678868815952,-3.1855460795761292,-3.1212390594314465,106.81908885509974,10.281561248572075
9,sub13,100,93.0851951962231,100.88603259157075,0.0631675917438896,0.04434576723919653,0.05136897263105407,-2.761963898213004,-3.1157380147091533,-2.9687209340984335,114.42775806365162,11.013911611473675
0,sub14,01,1.609629643421484,3.1384992553599624,0.002621397798173354,0.0053569313278126925,0.0055808657268325455,-5.944047592722207,-5.229363981315621,-5.188411366445275,5.874097174951444,0.3803941951553289
1,sub14,05,4.813101566254652,4.813075987679539,0.004869548859701739,0.005232915353604219,0.00506654891959228,-5.324753982790227,-5.252786727223709,-5.285095379622214,12.31382175333191,0.7974172329186217
2,sub14,10,6.1695044070460225,9.552759455097894,0.007947568466052582,0.005538830405557169,0.00558918458908404,-4.834889250425284,-5.195971918641989,-5.186921872028647,16.540030903098984,1.071097660770417
3,sub14,15,11.947183662405935,15.17856403027997,0.012664488286077474,0.009504495804282642,0.006827892337906565,-4.368953400128609,-4.655990349763516,-4.9867392419090875,26.8551634661782,1.7390839797549134
4,sub14,25,23.447409105235618,24.98621079893862,0.010762778586254766,0.007216879695593565,0.007111202762414498,-4.531661524661576,-4.931332594617532,-4.9460838845772015,21.465045694497427,1.3900312742099301
5,sub14,50,43.81476136148862,47.14942167768115,0.01711309004224906,0.01729003208635774,0.016297424141184028,-4.067911608772133,-4.057625123513198,-4.116748211805403,35.09793928097061,2.2728688284775913
6,sub14,75,69.34821869037779,59.51703585338866,0.021206610285306543,0.016164808639844448,0.0154287744255532,-3.8534423399948445,-4.124918705805867,-4.171521043788005,44.35302925617401,2.872209015974022
7,sub14,90,85.49968004503492,73.73594943895633,0.036568040509460574,0.02758663807483947,0.03305301100900727,-3.30858063016889,-3.5904237512099035,-3.409642612174393,69.78667098620106,4.519238233845719
8,sub14,95,84.5507641245901,78.45296555003998,0.023990938152258647,0.027927039481748402,0.02615274595026917,-3.730079096923554,-3.5781599024323874,-3.6438010863256465,44.07705513537014,2.8543375115640264
9,sub14,100,92.49463026837219,86.74488401614916,0.0391684135909992,0.02531928927696898,0.032741273437753016,-3.2398846327373034,-3.676188751730098,-3.4191188123235654,77.61772723064956,5.026360987964564
0,sub15,01,-1.9517952892197377,1.6879340368074884,0.003869667286050123,0.00605479517578371,0.0037731458423429444,-5.554586748233169,-5.106904729835165,-5.579846184534735,5.870006805258427,0.5787934863211348
1,sub15,05,0.6377780022854163,5.732481403315673,0.012502910302482895,0.0058231849552411044,0.003932406654472026,-4.381793837574597,-5.145907923753152,-5.538503660256472,16.302168925675726,1.6074238923599542
2,sub15,10,6.288884655499205,11.006850550469414,0.011942379838847147,0.011458943027491415,0.006194611153919454,-4.4276618743922125,-4.468984803407118,-5.0840755335999095,18.17958516942877,1.792540593080698
